DAY,DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-DAY,LSE-NIGHT,LSE-TOT,TOTAL,LSE-PERCENT,WEEKLY AVG
3,2024-01-02,3018,3396,6414,,,3007,9421,31.92%,12661.2
4,2024-01-03,2828,3000,5829,,,3663,9493,38.59%,
5,2024-01-04,3339,3708,7047,,,4053,11101,36.51%,
6,2024-01-05,4011,6357,10368,,,5194,15563,33.37%,
7,2024-01-06,4531,5975,10506,,,7222,17728,40.74%,
3,2024-01-09,2364,2345,4709,,,2380,7090,33.57%,12821.6
4,2024-01-10,2671,3409,6080,,,2986,9066,32.94%,
5,2024-01-11,3210,4275,7485,,,3487,11473,30.39%,
6,2024-01-12,4286,5778,10065,,,6407,16472,38.90%,
7,2024-01-13,5296,6256,11552,,,8455,20007,42.26%,
3,2024-01-16,2301,3231,5532,,,1839,7371,24.95%,11138.6
4,2024-01-17,2481,2523,5004,,,2480,7485,33.13%,
5,2024-01-18,2815,3173,5988,,,3138,9126,34.39%,
6,2024-01-19,2974,5765,8739,,,4894,13658,35.83%,
7,2024-01-20,5571,6119,11690,,,6363,18053,35.25%,
3,2024-01-23,2329,2971,5301,,,2432,7433,32.72%,13438
4,2024-01-24,2392,3100,5493,,,2959,8552,34.60%,
5,2024-01-25,3415,3470,6885,,,2842,9908,28.68%,
6,2024-01-26,4878,6108,10987,,,7084,18072,39.20%,
7,2024-01-27,7197,6711,13908,,,9317,23225,40.12%,
3,2024-01-30,2345,3981,6326,,,3061,9387,32.61%,13371.6
4,2024-01-31,2998,3826,6824,,,3412,10236,33.33%,
5,2024-02-01,2577,3545,6122,,,2235,8398,26.61%,
6,2024-02-02,5469,6769,12238,,,6403,18642,34.35%,
7,2024-02-03,6023,6126,12150,,,8046,20195,39.84%,
3,2024-02-06,1616,2895,4511,,,2793,7305,38.23%,13537.2
4,2024-02-07,2573,3667,6239,,,3142,9381,33.49%,
5,2024-02-08,3035,3286,6321,,,2565,8889,28.86%,
6,2024-02-09,5143,7668,12811,,,8422,21234,39.66%,
7,2024-02-10,6279,7416,13695,,,7182,20877,34.40%,
3,2024-02-13,3007,3367,6374,,,2315,8689,26.64%,14272.6
4,2024-02-14,4252,4939,9191,,,4952,14144,35.01%,
5,2024-02-15,2415,3969,6385,,,3438,9828,34.98%,
6,2024-02-16,3545,7129,10674,,,7331,18006,40.71%,
7,2024-02-17,5647,6315,11961,,,8734,20696,42.20%,
3,2024-02-20,2313,3866,6179,,,3401,9580,35.50%,15103.4
4,2024-02-21,3600,3762,7362,,,3058,10420,29.35%,
5,2024-02-22,3343,4441,7784,,,4869,12654,38.48%,
6,2024-02-23,4095,7815,11910,,,6095,18006,33.85%,
7,2024-02-24,6954,7401,14355,,,10502,24857,42.25%,
3,2024-02-27,2482,3769,6251,,,3105,9357,33.18%,14426.8
4,2024-02-28,2828,4676,7505,,,4695,12201,38.48%,
5,2024-02-29,3372,5401,8774,,,2966,11740,25.26%,
6,2024-03-01,3064,5945,9009,,,8133,17142,47.44%,
7,2024-03-02,6171,6931,13101,,,8592,21694,39.61%,
3,2024-03-05,3798,4062,7860,,,3724,11584,32.15%,15203.6
4,2024-03-06,2709,4750,7459,,,4793,12252,39.12%,
5,2024-03-07,3601,5748,9350,,,4433,13783,32.16%,
6,2024-03-08,3096,6926,10023,,,7138,17161,41.59%,
7,2024-03-09,6146,7252,13398,,,7840,21238,36.91%,
