DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-DAY,LSE-TOT,TOTAL,LSE-PERCENT,LSE-NIGHT
2018-12-26,3741.0,5036.0,8777,626.0,2446,11223,0.21794529092043124,1820.0
2018-12-27,4179.0,5585.0,9765,812.0,3347,13112,0.25526235509456985,2535.0
2018-12-28,3848.0,6135.0,9984,809.0,3018,13001,0.2321359895392662,2209.0
2018-12-29,3564.0,4474.0,8039,637.0,2039,10078,0.2023218892637428,1402.0
2018-12-18,2895.0,2563.0,5458,967.0,3264,8723,0.374183193855325,2297.0
2018-12-19,2135.0,3014.0,5149,603.0,3033,8182,0.3706917624052799,2430.0
2018-12-20,2285.0,3404.0,5691,695.0,3793,9483,0.39997890962775495,3098.0
2018-12-21,2567.0,4228.0,6795,1331.0,3133,9929,0.3155403363883573,1802.0
2018-12-22,3433.0,4513.0,7946,936.0,2609,10555,0.2471814306016106,1673.0
2018-12-11,1765.0,2640.0,4405,692.0,1702,6107,0.27869657769772394,1010.0
2018-12-12,1872.0,2921.0,4793,437.0,1418,6209,0.22837816073441777,981.0
2018-12-13,1902.0,3156.0,5057,657.0,2311,7368,0.3136536373507057,1654.0
2018-12-14,1649.0,5025.0,6674,336.0,1721,8395,0.20500297796307326,1385.0
2018-12-15,3902.0,3913.0,7815,1574.0,2650,10465,0.25322503583373146,1076.0
2018-12-04,1521.0,1757.0,3278,192.0,1010,4289,0.23548612730240148,818.0
2018-12-05,1542.0,2910.0,4452,357.0,1248,5700,0.21894736842105264,891.0
2018-12-06,1564.0,2383.0,3948,370.0,1035,4983,0.20770620108368454,665.0
2018-12-07,2348.0,4227.0,6575,552.0,2695,9270,0.29072276159654803,2143.0
2018-12-08,3585.0,4335.0,7920,1750.0,2871,10791,0.26605504587155965,1121.0
2018-11-27,1496.0,1509.0,3006,287.0,539,3545,0.15204513399153738,252.0
2018-11-28,1515.0,2579.0,4094,283.0,1072,5167,0.2074704857751113,789.0
2018-11-29,1494.0,2145.0,3639,373.0,1132,4771,0.2372668203730874,759.0
2018-11-30,2491.0,4501.0,6992,356.0,2893,9885,0.2926656550328781,2537.0
2018-12-01,3310.0,4694.0,8005,758.0,2211,10216,0.21642521534847298,1453.0
2018-11-20,2338.0,3850.0,6189,801.0,1801,7990,0.22540675844806007,1000.0
2018-11-21,3112.0,4194.0,7306,711.0,2303,9609,0.23967114163804767,1592.0
2018-11-23,3316.0,4487.0,7803,1178.0,2555,10358,0.2466692411662483,1377.0
2018-11-24,2841.0,4656.0,7498,1007.0,2125,9623,0.2208251065156396,1118.0
2018-11-13,1311.0,1978.0,3289,,790,4079,0.19367492032360872,
2018-11-14,1579.0,2522.0,4101,226.0,1299,5400,0.24055555555555555,1073.0
2018-11-15,2713.0,2567.0,5281,346.0,1960,7241,0.27068084518712887,1614.0
2018-11-16,2600.0,5385.0,7985,320.0,2372,10357,0.22902384860480834,2052.0
2018-11-17,3470.0,6527.0,9997,,3394,13391,0.253453812261967,
2018-11-06,1382.0,2582.0,3964,276.0,276,4800,0.0575,0.0
2018-11-07,2206.0,2798.0,5005,363.0,1036,6041,0.17149478563151796,673.0
2018-11-08,1770.0,2557.0,4327,381.0,1278,5605,0.2280107047279215,897.0
2018-11-09,2288.0,6743.0,9031,241.0,3461,12492,0.2770573166826769,3220.0
2018-11-10,4210.0,6593.0,10803,2195.0,5263,16066,0.3275862068965517,3068.0
2018-10-30,1052.0,2062.0,3114,126.0,824,3938,0.20924327069578466,698.0
2024-10-31,1587.0,1591.0,3178,473.0,853,4031,0.21161002232696602,380.0
2018-11-01,1942.0,2414.0,4356,165.0,1248,5604,0.22269807280513917,1083.0
2018-11-02,3999.0,5684.0,9683,934.0,2843,12525,0.22698602794411177,1909.0
2018-11-03,3209.0,5008.0,8218,,2130,10348,0.20583687669114806,
2018-10-23,1927.0,2003.0,3930,269.0,934,4864,0.19202302631578946,665.0
2018-10-24,1650.0,2760.0,4410,1189.0,2283,6693,0.3411026445540117,1094.0
2018-10-25,2042.0,4142.0,6184,284.0,1235,7419,0.16646448308397357,951.0
2018-10-26,3295.0,4594.0,7889,532.0,2318,10207,0.22709904967179387,1786.0
2018-10-27,3583.0,3432.0,7015,601.0,1198,8213,0.1458663095093145,597.0
2018-10-16,1744.0,2130.0,3874,85.0,967,4841,0.19975211733112994,882.0
2018-10-17,1558.0,2135.0,3694,300.0,919,4613,0.1992195967916757,619.0
2018-10-18,1745.0,3120.0,4865,309.0,1921,6786,0.2830828175655762,1612.0
2018-10-19,3067.0,5722.0,8789,550.0,2421,11210,0.2159678858162355,1871.0
2018-10-20,4799.0,6088.0,10887,,2710,13597,0.19930867103037433,
2018-10-09,1349.0,2216.0,3565,146.0,862,4427,0.19471425344477072,716.0
2018-10-10,1765.0,2003.0,3768,319.0,1156,4924,0.2347684809098294,837.0
2018-10-11,1808.0,2870.0,4678,,1272,5950,0.21378151260504202,
2018-10-12,2363.0,5791.0,8154,397.0,2233,10387,0.21498026379127755,1836.0
2018-10-13,2838.0,5712.0,8851,,2045,10596,0.19299735749339372,
2018-10-02,1470.0,2338.0,3808,165.0,558,4366,0.12780577187356848,393.0
2018-10-03,1505.0,2054.0,3559,402.0,1331,4890,0.2721881390593047,929.0
2018-10-04,1697.0,3131.0,4829,320.0,1469,6298,0.2332486503651953,1149.0
2018-10-05,3218.0,6264.0,9482,577.0,4727,14209,0.3326764726581744,4150.0
2018-10-06,3800.0,6513.0,10313,,3365,13678,0.24601549934200906,
2018-09-25,1387.0,2243.0,3630,502.0,1104,4734,0.2332065906210393,602.0
2018-09-26,2052.0,2396.0,4448,297.0,1290,5738,0.22481700941094457,993.0
2018-09-27,1853.0,2414.0,4268,338.0,1436,5704,0.2517531556802244,1098.0
2018-09-28,1946.0,5722.0,7668,,3075,10743,0.28623289583915107,
2018-09-29,4394.0,4489.0,8884,,2472,11356,0.21768228249383587,
2018-09-18,1312.0,1897.0,3209,342.0,1175,4384,0.26802007299270075,833.0
2018-09-19,1722.0,2415.0,4138,274.0,811,4949,0.1638714891897353,537.0
2018-09-20,1540.0,2534.0,4074,209.0,1808,5882,0.3073784427065624,1599.0
2018-09-21,1818.0,4920.0,6738,318.0,1895,8633,0.21950654465423375,1577.0
2018-09-22,3509.0,5622.0,9131,,1840,10971,0.16771488469601678,
2018-09-11,1447.0,2222.0,3669,329.0,1010,4679,0.21585808933532807,681.0
2018-09-12,1654.0,1936.0,3590,252.0,1434,5024,0.2854299363057325,1182.0
2018-09-13,1414.0,3038.0,4453,303.0,1287,5740,0.22421602787456446,984.0
2018-09-14,2002.0,6289.0,8291,315.0,3241,11532,0.2810440513354145,2926.0
2018-09-15,3796.0,5254.0,9050,1170.0,2939,11989,0.2451413795979648,1769.0
2018-09-04,1210.0,2373.0,3583,103.0,587,4170,0.1407673860911271,484.0
2018-09-05,1340.0,2116.0,3456,129.0,690,4146,0.16642547033285093,561.0
2018-09-06,1507.0,2616.0,4123,220.0,1220,5243,0.2326912073240511,1000.0
2018-09-07,2270.0,5265.0,7535,426.0,2247,9782,0.22970762625230015,1821.0
2018-09-08,4487.0,4407.0,8897,920.0,1695,10592,0.16002643504531722,775.0
2018-08-28,1690.0,1795.0,3485,180.0,892,4377,0.20379255197623944,712.0
2018-08-29,1701.0,2273.0,3974,218.0,1575,5549,0.28383492521174986,1357.0
2018-08-30,1659.0,2543.0,4202,331.0,1337,5540,0.24133574007220215,1006.0
2018-08-31,2394.0,5542.0,7936,680.0,1881,9817,0.19160639706631355,1201.0
2018-09-01,4072.0,4799.0,8871,921.0,1882,10753,0.17502092439319258,961.0
2018-08-21,2284.0,3330.0,5614,223.0,1521,7135,0.21317449194113525,1298.0
2018-08-22,1479.0,2620.0,4099,280.0,1261,5360,0.23526119402985074,981.0
2018-08-23,1762.0,3215.0,4977,190.0,1365,6342,0.2152317880794702,1175.0
2018-08-24,2121.0,4274.0,6395,624.0,1939,8334,0.2326613870890329,1315.0
2018-08-25,4234.0,5824.0,10058,822.0,2054,12113,0.1695698835961364,1232.0
2018-08-14,2106.0,2198.0,4304,247.0,1689,5993,0.28182880026697815,1442.0
