2018,DATE,LUNCH,DINNER,SATCH Z,LSE DAY,lse night,LSE,TOTAL,Notes or Cater,,,,
Tuesday,,CLOSED,,,,,,,,,,,
Wednesday,12/26/2018,3741,5036,8777,626,,2446,11223,,,,,
Thursday,12/27/2018,4179,5585,9765,812,,3347,13112,,,,,
Friday,12/28/2018,3848,6135,9984,809,,3018,13001,,,,,
Saturday,12/29/2018,3564,4474,8039,637,,2039,10078,,,,,
total,,,,,,,10850,47414,,,,,
LSE%,,,,,,,23%,,,,,,
Tuesday,12/18/2018,2895,2563,5458,967,,3264,8723,FM - love night in LSE,,,,
Wednesday,12/19/2018,2135,3014,5149,603,,3033,8182,Ukelele Night. Need three at LSE.,,,,
Thursday,12/20/2018,2285,3404,5691,695,,3793,9483,Rainy day - Wild Shiners in LSE,,,,
Friday,12/21/2018,2567,4228,6795,1331,,3133,9929,400 cater day on Z,,,,
Saturday,12/22/2018,3433,4513,7946,936,,2609,10555,,,,,
total,,,,,,,15832,46878,,,,,
LSE%,,,,,,,34%,,,,,,
Tuesday,12/11/2018,1765,2640,4405,692,,1702,6107,,,,,
Wednesday,12/12/2018,1872,2921,4793,437,,1418,6209,,,,,
Thursday,12/13/2018,1902,3156,5057,657,,2311,7368,300 cater paypal in greenhouse nite,,,,
Friday,12/14/2018,1649,5025,6674,336,,1721,8395,WET - some grads - no outside seating,,,,.
Saturday,12/15/2018,3902,3913,7815,1574,,2650,10465,yoga pod $1000 - not on Z,Graduation Dinner not busy! 3:00 graduation,,,
total,,,,,,,9802,38544,,,,,
LSE%,,,,,,,25%,,,,,,
Tuesday,12/4/2018,1521,1757,3278,192,,1010,4289,,,,,
Wednesday,12/5/2018,1542,2910,4452,357,,1248,5700,COLD,,,,
Thursday,12/6/2018,1564,2383,3948,370,,1035,4983,779 cater day and nite not on Z,,,,
Friday,12/7/2018,2348,4227,6575,552,,2695,9270,,,,,
Saturday,12/8/2018,3585,4335,7920,1750,,2871,10791,home BBall game @ noon,,,,
total,,,,,,,8859,35033,,,,,
LSE%,,,,,,,25%,,,,,,
Tuesday,11/27/2018,1496,1509,3006,287,,539,3545,COLD,,,,
Wednesday,11/28/2018,1515,2579,4094,283,,1072,5167,COLD,,,,
Thursday,11/29/2018,1494,2145,3639,373,,1132,4771,still chilly,,,,
Friday,11/30/2018,2491,4501,6992,356,,2893,9885,,,,,
Saturday,12/1/2018,3310,4694,8005,758,,2211,10216,RAIN,,,,
total,,,,,,,7847,33584,,,,,
LSE%,,,,,,,23%,,,,,,
Tuesday,11/20/2018,2338,3850,6189,801,,1801,7990,,,,,
Wednesday,11/21/2018,3112,4194,7306,711,,2303,9609,,,,,
Thursday,,closed ,FRIENDS,AND ,FOR ,,FAMILY,DAY,TGV,,,,
