DATE,LUNCH,DINNER,SATCH Z,LSE day,LSE TOTAL,TOTAL,352,352 + TOTAL,BYPPO,LOLO,Paypal-gross
12/29/2020,2188,2461,4650,1602,4237,8887.19,348.82,8887.19,,,
12/30/2020,2211,189,4050,1956,5344,9394.57,370.78,9394.57,,45,
,CLOSED,,CLOSED,,CLOSED,,,CLOSED,,,
,CLOSED,,CLOSED,,CLOSED,,,CLOSED,,,
,,,,,,,,,,,
,,,,,15264,29446.79,1174.91,,,LOLO 142.50 as of 12/30/20,
,,,,,52%,,,,,,
12/22/2020,2124,2276,4400,2354,5324,9724.05,579.96,9724.05,,7.5,
12/23/2020,1900,1437,3337,1178,6328,9665.88,414.63,9665.88,,,
12/24/2020,CLOSED,,CLOSED,,CLOSED,,,CLOSED,,,
12/25/2020,CLOSED,,CLOSED,,CLOSED,,,CLOSED,,,
12/26/2020,2470,1986,4456,1648,4575,9030.63,247.73,9030.63,,15,
,,,,,16227,28420.56,1242.32,,,,
,,,,,57%,,,,,,
12/15/2020,1580,1446,3026,1319,3018,6044.41,442.12,6044.41,,7.5,
12/16/2020,1187,987,2174,1320,3189,5363.81,211.87,5363.81,,,
12/17/2020,1082,1416,2498,1595,3080,5579.09,432.29,5579.09,,,
12/18/2020,1145,2554,3700,1893,6086,9786.23,661.82,9786.23,,,
12/19/2020,2595,2130,5089,3317,5865,10954.56,761.33,10954.56,,7.5,
,,,,,21238,37728.1,2509.43,,,,
,,,,,56%,94% of 2019,,,,,
12/8/2020,896,833,1729,876,2329,4058.28,239.16,4058.28,,7.5,
12/9/2020,1187,1238,2425,930,2336,4761.29,277.16,4761.29,,7.5,
12/10/2020,1030,1714,2745,1197,2741,5485.85,424.8,5485.85,,,
12/11/2020,2189,2861,5050,1334,5067,10116.78,550.54,10116.78,,7.5,
12/12/2020,2315,2320,4635,2248,5521,10156.89,516.29,10156.89,,,
,,,,,17994,34579.09,2007.95,,,,
,,,,,52%,,,,,,
12/1/2020,792,683,1475,548,1638,3113.92,175.49,3113.92,,,
12/2/2020,894,876,1771,775,1766,3537.55,243.43,3537.55,32.14,15,
12/3/2020,843,1136,1979,1254,2425,4404.04,260.03,4404.04,,,
12/4/2020,891,3681,4572,1661,4936,9508.37,632.39,9508.37,,7.5,
12/5/2020,2762,2576,5339,1757,4694,10033.07,769.88,1033.07,,,
,,,,,15459,30596.95,2081.22,,,,
,,,,,,,,,,,
11/24/2020,1788,2064,3852,965,2801,6653.94,207.58,6653.94,,7.5,
11/25/2020,1947,2019,3966,1581,3568,7534.55,843.71,7534.55,,,
,THANKS,GIVING,GIVE,THANKS,WEAR,YOUR,MASK,Make it to 2021,,,
