DATE,LUNCH,DINNER,SATCH Z,LSE D,LSE N,LSE TOT,TOTAL,352,
12/28/2021,3495,5040,8535,2210,2783,4993,13528,Busiest day maybe ever?,
12/29/2021,3380,4189,7569,1707,3235,4942,12512,,
12/30/2021,3670,3616,7286,1972,1941,3913,11199,,
,,,,,,,,,
,,,,,,,,,
,,,,,,13848,37239,,
,,,,,,37%,,,
12/21/2021,2880,3280,6161,1691,2503,4195,10355,,
12/22/2021,3078,3876,6955,1720,2298,4018,10973,,
12/23/2021,3253,3782,7035,2394,2784,5180,12215,,
,,,,,,,,,
,,,,,,,,,
,,,,,,13393,33543,,
,,,,,,34%,,,
12/14/2021,2558,3127,5685,1226,2391,3617,9302,,
12/15/2021,2521,3031,5552,1403,1602,3005,8556,,
12/16/2021,2589,3698,6287,1111,3353,4464,10751,,
12/17/2021,3331,5468,8799,1963,3203,5166,13965,,
12/18/2021,5064,3533,8597,2593,2486,5079,13675,,
,,,,,,21331,56249,,
,,,,,,38%,,,
12/7/2021,1843,2634,4478,947,1378,2325,6803,,
12/8/2021,1918,2141,4059,1112,1501,2613,6672,,
12/9/2021,2163,3007,5170,615,1204,1819,6990,,
12/10/2021,2349,5175,7523,1347,3520,4867,12390,,
12/11/2021,3767,3222,6989,26494,2488,5138,12126,,
,,,,,,16762,44981,,
,,,,,,38%,,,
11/30/2021,1474,2237,3712,992,1593,2585,6297,,
12/1/2021,2014,2800,4814,746,1713,2459,7273,,
12/2/2021,3188,2386,5574,1133,1880,2923,8497,,
12/3/2021,2250,4425,6675,1043,3348,4392,11456,,
12/4/2021,3974,3884,7858,1549,2351,3900,11758,,
,,,,,,16259,45281,,
,,,,,,36%,,,
11/23/2021,3081,3433,6514,1105,2224,3329,9843,,
11/24/2021,2425,4240,6665,1454,1931,3385,10050,,
,THANKSGIVING,,,,,,,,
11/26/2021,5024,6876,11901,1888,5239,7127,19028,RECORD LSE,
11/27/2021,3240,5738,8978,2898,3614,6512,15491,,
,,,,,,20353,54412,,
,,,,,,37%,,,
11/16/2021,2017,2239,4256,1048,1403,2451,6707,,
11/17/2021,2116,2224,4339,816,1015,1828,6167,,
11/18/2021,1170,3040,4211,666,1682,2348,6559,,
11/19/2021,2279,4780,7059,1096,3365,4461,11520,,
11/20/2021,3966,3732,7698,1896,1169,3066,10764,,
,,,,,,14154,41717,,
,,,,,,34%,,,
11/9/2021,2110,2827,4937,650,632,1282,6220,,
11/10/2021,1869,3629,5498,629,2158,2788,8285,,
11/11/2021,2841,3575,6416,1584,1738,3323,9739,,
11/12/2021,3550,6562,10112,987,4835,5822,15934,,
11/13/2021,4215,6097,10312,3116,3766,6883,17195,,
,,,,,, ,57373,,
,,,,,,35%,,,
11/2/2021,1858,2220,4078,693,1746,2439,6517,,
11/3/2021,2031,2613,4644,784,1624,2407,7051,,
11/4/2021,1378,2153,3513,568,1287,1946,5459,,
11/5/2021,1823,4055,5878,1115,2043,3158,9036,,
11/6/2021,3869,3854,7723,2463,2338,4802,12525,,
,,,,,,14752,40588,,
,,,,,,,,,
10/26/2021,1807,1915,3722,558,684,1242,4964,,
10/27/2021,2026,2366,4393,1033,1611,2644,7037,,
10/28/2021,1474,2913,4387,596,1876,2472,6859,,
10/29/2021,2456,4747,7204,788,2789,3577,10781,,
10/30/2021,3282,3966,7248,1872,1600,3472,10719,,
,,,,,,13407,40360,,
,,,,,,,,,
10/19/2021,1795,2277,4072,778,1391,2169,6241,,
10/20/2021,1529,2183,3711,426,1147,1574,5286,,
10/21/2021,1622,3050,4672,1116,1798,2914,7586,,
10/22/2021,2332,5507,7807,953,2426,3379,11187,,
10/23/2021,5042,5157,10198,1388,2474,3862,14061,,
,,,,,,13898,44361,,
,,,,,,31%,,,
10/12/2021,1750,2917,4667,418,818,1236,5903,,
10/13/2021,1266,2439,3705,530,1074,1605,5310,,
10/14/2021,1598,2718,4317,647,1996,2643,6959,,
10/15/2021,2723,5286,8009,1088,2098,3186,11195,,
10/16/2021,4047,4773,8820,1247,2731,3978,12799,,
,,,,,,12648,42166,,
,,,,,,,,,
10/5/2021,1829,2262,4091,551,1358,1909,6001,,
10/6/2021,1352,3051,4403,667,1148,1815,6219,,
10/7/2021,1573,2844,4417,530,1603,2133,6550,,
10/8/2021,3556,5568,9124,1129,3697,4826,13951,,
10/9/2021,3613,5893,9506,2776,3780,6556,16062,,
,,,,,,17239,48783,,
,,,,,,35%,,,
9/28/2021,1979,2296,4276,585,1254,1839,6115,,
9/29/2021,1810,2243,4053,758,2011,2769,6822,,
9/30/2021,1488,1997,3485,844,1013,1857,5343,,
10/1/2021,2952,5307,7860,1124,2654,3778,11638,,
10/2/2021,4493,4257,8750,1266,1754,3021,11770,,
,,,,,,13264,41688,,
