DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-DAY,LSE-NIGHT,LSE-TOT,TOTAL,LSE-PERCENT
2022-12-27,4521,4485,9006,2520,2968.0,5488,14494.0,0.3786394370084173
2022-12-28,4236,4422,8658,2149,2895.0,5045,13703.0,0.36816755455009853
2022-12-29,3494,4296,7790,1814,3591.0,5406,13196.0,0.40966959684752957
2022-12-30,3285,6048,9333,2585,3772.0,6356,15690.0,0.40509878903760355
2022-12-20,2957,4306,7263,2110,3313.0,5423,12686.0,0.4274791108308371
2022-12-21,2947,3421,6368,2293,3564.0,5857,12225.0,0.4791002044989775
2022-12-22,3243,4390,7633,2394,3129.0,5523,13156.0,0.4198084524171481
2022-12-23,3528,3766,7294,3548,3068.0,6617,13911.0,0.47566673855222485
2022-12-13,2625,3886,6512,1179,2990.0,4169,10681.0,0.3903192584963955
2022-12-14,3285,3504,6789,1478,2446.0,3924,10713.0,0.36628395407448894
2022-12-15,1578,3679,5257,2712,2721.0,5433,10690.0,0.5082319925163704
2022-12-16,3328,6205,9534,2502,4190.0,6692,16226.0,0.41242450388265744
2022-12-17,4685,5785,10469,2552,3283.0,5835,16304.0,0.35788763493621195
2022-12-06,1915,2559,4474,1156,1384.0,2540,7015.0,0.3620812544547398
2022-12-07,2240,3775,6015,1299,2010.0,3309,9324.0,0.35489060489060487
2022-12-08,3503,4089,7592,1386,2044.0,3430,11022.0,0.3111957902377064
2022-12-09,3653,5955,9608,2227,3192.0,5419,15027.0,0.36061755506754506
2022-12-10,4246,5578,9824,2171,2900.0,5071,14895.0,0.34044981537428665
2022-11-29,1714,2504,4218,376,1584.0,1960,6179.0,0.31720343097588605
2022-11-30,2024,2910,4934,836,858.0,1694,6628.0,0.2555823777911889
2022-12-01,2368,3231,5599,1100,1884.0,2994,8593.0,0.34842313510997325
2022-12-02,2292,5304,7597,1335,2991.0,4329,11923.0,0.36307976180491486
2022-12-03,3161,4957,8118,2628,2589.0,5218,13336.0,0.3912717456508698
2022-11-22,3694,3250,6944,1523,2419.0,3942,10886.0,0.3621164798824178
2022-11-23,3559,5224,8783,1634,2486.0,4120,12903.0,0.31930558784778734
2022-11-25,5362,4424,9787,1714,3214.0,4928,14714.0,0.33491912464319695
2022-11-26,4536,5398,9934,2190,3121.0,5311,11245.0,0.4722987994664295
2022-11-15,2227,2182,4409,984,1410.0,2394,6803.0,0.35190357195354993
2022-11-16,1997,4320,6318,697,2040.0,2737,9055.0,0.302263942573164
2022-11-17,2639,3001,5640,1030,1928.0,2957,8598.0,0.3439171900441963
2022-11-18,2802,6720,9522,1193,3502.0,4695,14218.0,0.3302152201434801
2022-11-19,4654,5637,10291,2179,2706.0,4885,15176.0,0.32188982604111754
2022-11-08,2218,2818,5037,1101,1212.0,2312,7349.0,0.3146006259355014
2022-11-09,2405,2661,5066,924,2070.0,2994,8060.0,0.3714640198511166
2022-11-10,1331,2952,4283,854,1857.0,2712,6995.0,0.38770550393137954
2022-11-11,3992,7104,11096,1495,6284.0,7779,18875.0,0.41213245033112583
2022-11-12,5268,6005,11273,3516,4241.0,7758,19031.0,0.40765067521412435
2022-11-01,1742,2763,4505,707,990.0,1697,6202.0,0.2736214124475975
2022-11-02,1764,2526,4290,900,1332.0,2232,6522.0,0.3422263109475621
2022-11-03,2327,2526,4853,995,1565.0,2560,7413.0,0.3453392688520167
2022-11-04,4370,5522,9892,1399,4206.0,5606,15497.0,0.3617474349874169
2022-11-05,4226,5428,9654,3651,2849.0,6501,16155.0,0.40241411327762305
2022-10-25,2676,2907,5584,1085,1695.0,2780,8363.0,0.33241659691498265
2022-10-26,2167,2737,4904,838,1405.0,2243,7148.0,0.313794068270845
2022-10-27,1693,5384,7077,866,2210.0,3076,10153.0,0.30296464099281
2022-10-28,4012,5028,9040,1333,3693.0,5027,14067.0,0.3573611999715647
2022-10-29,5074,4312,9386,2312,2130.0,4441,13827.0,0.32118319230491066
2022-10-18,2081,3068,5148,517,1896.0,2413,7562.0,0.31909547738693467
2022-10-19,1734,2509,4243,617,1466.0,2082,6325.0,0.3291699604743083
2022-10-20,1642,3725,5367,837,2091.0,2928,8295.0,0.35298372513562387
2022-10-21,2913,6206,9120,1012,2988.0,4000,13120.0,0.3048780487804878
2022-10-22,5536,6297,11834,2378,3516.0,5894,17728.0,0.3324684115523466
2022-10-11,1631,3408,5039,1017,1060.0,2077,7117.0,0.2918364479415484
2022-10-12,2334,2579,4913,964,2031.0,2295,7908.0,0.2902124430955994
2022-10-13,2172,4052,7024,816,2436.0,2352,10275.0,0.2289051094890511
2022-10-14,3740,7808,11548,1282,6034.0,7316,18864.0,0.3878286683630195
2022-10-15,5666,4864,10531,3231,2096.0,5327,15857.0,0.3359399634230939
2022-10-04,2120,2554,4674,856,1562.0,2418,7092.0,0.3409475465313029
2022-10-05,2308,2891,5198,1129,1714.0,2843,8041.0,0.3535629896779008
2022-10-06,1744,4405,6149,1142,1788.0,2930,9080.0,0.32268722466960353
2022-10-07,4707,6524,11232,2092,3988.0,6080,17312.0,0.3512014787430684
2022-10-08,4573,6756,11329,3494,3587.0,7080,18409.0,0.384594491824651
2022-09-27,1729,3568,5297,988,1714.0,2702,7999.0,0.3377922240280035
2022-09-28,1424,1542,2966,603,1124.0,1727,4694.0,0.367916489135066
2022-09-29,1288,3488,4777,1010,2034.0,3045,7822.0,0.3892866274610074
2022-09-30,2546,5385,7932,1010,2909.0,3919,11851.0,0.33068939330014346
2022-10-01,4328,5597,9925,1567,2737.0,4304,14229.0,0.30248084897041255
2022-09-20,2551,2437,4988,950,1295.0,2245,7233.0,0.3103829669570026
2022-09-21,1823,2541,4364,836,1187.0,2023,6387.0,0.3167371222796305
2022-09-22,2203,3817,6019,366,2800.0,3166,9185.0,0.3446924333151878
2022-09-23,2455,5470,7925,1252,2807.0,4059,11984.0,0.33870160213618156
2022-09-24,4900,5420,10320,2426,2956.0,5384,15705.0,0.3428207577204712
2022-09-13,2867,2549,5415,378,1616.0,1991,7406.0,0.26883607885498245
2022-09-14,2638,3168,5806,1148,2051.0,3199,9005.0,0.355247084952804
2022-09-15,1988,3551,5539,843,2586.0,3428,8967.0,0.38229062116649937
2022-08-16,2891,6143,9034,1354,4696.0,6320,15354.0,0.41161912205288526
2022-09-17,5390,4535,9925,3285,1997.0,5283,15208.0,0.3473829563387691
2022-09-06,1938,2565,4503,742,1565.0,2307,6811.0,0.33871678167669944
2022-09-07,1675,2701,4377,888,2012.0,2900,7277.0,0.3985158719252439
2022-09-08,1666,2800,4466,824,1170.0,1994,6460.0,0.3086687306501548
2022-09-09,2856,6369,9226,2569,4910.0,7479,16705.0,0.4477102663873092
2022-09-10,5040,4256,9296,3150,1467.0,4617,13913.0,0.3318479120247251
2022-08-30,1899,2749,4648,853,930.0,1783,6431.0,0.27725081635826465
2022-08-31,2361,2324,4685,942,1262.0,2204,6889.0,0.3199303237044564
2022-09-01,3128,3967,7095,751,1723.0,2474,9569.0,0.25854321245689205
2022-09-02,3706,5802,9507,1681,5424.0,7105,16613.0,0.4276771203274544
2022-09-03,5396,4164,9560,2939,2352.0,5291,14851.0,0.35627230489529327
2022-08-23,2524,3720,6244,837,1774.0,2610,8854.0,0.29478201942624804
2022-08-24,2416,3215,5631,905,1876.0,2781,8413.0,0.33055984785451087
2022-08-25,1883,3181,5064,829,1605.0,2435,7499.0,0.3247099613281771
2022-08-26,2599,5018,7617,935,3825.0,4760,12377.0,0.38458430960652823
2022-08-27,4300,6063,10364,2436,2609.0,5045,15409.0,0.32740606139269257
2022-08-16,2736,3877,6613,727,2212.0,2939,9553.0,0.30765204647754635
2022-08-17,3152,4729,7881,888,1988.0,2876,10757.0,0.2673607883238821
2022-08-18,2945,5584,8529,1112,2846.0,3958,12487.0,0.31696964843437175
2022-08-19,3746,6647,10393,1841,4796.0,6637,17031.0,0.3897011332276437
2022-08-20,5596,6133,11729,2471,4568.0,7040,18769.0,0.3750865789333475
2022-08-09,2307,3102,5408,1141,1332.0,2473,7881.0,0.31379266590534194
2022-08-10,3589,3581,7170,1028,2427.0,3455,10626.0,0.3251458686241295
2022-08-11,2259,3635,5894,784,2001.0,2785,8679.0,0.3208895033990091
2022-08-12,2570,6014,8584,1549,3497.0,5047,13632.0,0.37023180751173707
2022-08-13,4539,7040,11571,1767,2853.0,4620,16192.0,0.28532608695652173
2022-08-02,2240,3754,5994,827,1926.0,2753,8747.0,0.31473648107922714
2022-08-03,2811,3680,6491,1041,1705.0,2756,9236.0,0.29839757470766565
2022-08-04,2652,4348,7000,1297,2699.0,3996,10996.0,0.3634048744998181
2022-08-05,4504,6531,11036,1362,3324.0,4686,15722.0,0.2980536827375652
2022-08-06,4407,6564,10971,1983,3475.0,5459,16430.0,0.33225806451612905
2022-07-26,2543,3522,6065,1219,1381.0,2600,8665.0,0.3000577034045009
2022-07-27,2340,3687,6027,1342,1125.0,2468,8495.0,0.2905238375515009
2022-07-28,2568,3582,6150,829,2075.0,2904,9054.0,0.32074221338634856
2022-07-29,3053,5872,8925,1752,3872.0,5625,14549.0,0.38662451027562034
2022-07-30,4614,6197,10811,2259,2275.0,4535,15346.0,0.295516747035058
2022-07-19,2457,2425,4882,754,1334.0,2088,6969.0,0.29961256995264746
2022-07-20,2921,4031,6952,1029,1990.0,3019,9972.0,0.3027476935419174
2022-07-21,2463,4856,7319,882,1695.0,2577,9896.0,0.26040824575586097
2022-07-22,2996,5910,8906,1650,3120.0,4770,13675.0,0.3488117001828154
2022-07-23,4232,6386,10618,2018,3198.0,5216,15835.0,0.3293969055888854
2022-07-12,2369,3679,6049,818,1813.0,2631,8680.0,0.30311059907834104
2022-07-13,2805,4031,6838,1087,2149.0,3237,10073.0,0.32135411496078625
2022-07-14,2467,4176,6642,872,3604.0,4477,11120.0,0.40260791366906473
2022-07-15,4350,5557,9907,1384,3634.0,5019,14927.0,0.33623635023782406
2022-07-16,4667,5674,10341,2826,3053.0,5879,16221.0,0.362431416065594
2022-07-05,2598,3355,5953,801,1489.0,2290,8243.0,0.27781147640422177
2022-07-06,1745,3083,4828,959,1662.0,2621,7449.0,0.3518593099744932
2022-07-07,2686,3505,6192,1424,1929.0,3353,9545.0,0.3512833944473546
2022-07-08,2230,4844,7074,1434,3379.0,4812,11886.0,0.4048460373548713
2022-07-09,4488,5197,9685,1528,2565.0,4093,13778.0,0.29706778922920596
2022-06-28,2474,4144,6618,1536,2975.0,4511,11129.0,0.4053374067750921
2022-06-29,3246,3818,7064,1071,2334.0,3405,10469.0,0.32524596427547997
2022-06-30,2339,4293,6632,982,2216.0,3198,9831.0,0.32529752822703695
2022-07-01,3409,5681,9090,1277,3433.0,4711,13800.0,0.3413768115942029
2022-07-02,3609,5660,9269,1136,3450.0,4586,13855.0,0.33099963911945146
2022-06-21,1594,2721,4316,1291,1661.0,2952,7268.0,0.4061640066042928
2022-06-22,2411,3265,5676,953,2159.0,3112,8788.0,0.35411925352753754
2022-06-23,2332,3265,6141,673,2281.0,2955,9096.0,0.324868073878628
2022-06-24,2732,5631,8362,1226,2879.0,4105,12467.0,0.32926927087511026
2022-06-25,3867,6304,10171,2159,3701.0,5860,16032.0,0.36551896207584833
2022-06-14,2312,3362,5674,875,2196.0,3071,8745.0,0.35117209834190966
2022-06-15,3068,3720,6788,1095,1716.0,2810,9598.0,0.29276932694311314
2022-06-16,2233,3596,5829,472,1924.0,2396,8225.0,0.29130699088145895
2022-06-17,2560,5462,8022,1656,2708.0,4364,12385.0,0.35236172789664916
2022-06-18,3513,4629,8142,1803,3156.0,4959,13100.0,0.3785496183206107
2022-06-07,3097,3320,6418,1186,1756.0,2942,9360.0,0.3143162393162393
2022-06-08,2825,3831,6656,860,1900.0,2760,9416.0,0.2931180968564146
2022-06-09,2059,2791,5029,725,2037.0,2761,7790.0,0.35442875481386393
2022-06-10,2382,5347,7729,1170,2865.0,4035,11763.0,0.34302473858709515
2022-06-11,3915,5889,9805,2284,3975.0,6259,16064.0,0.389628984063745
2022-05-31,1900,3086,4986,962,1284.0,2246,7232.0,0.3105641592920354
2022-06-01,2549,3622,6171,866,1928.0,2794,8765.0,0.31876782658300057
2022-06-02,2243,3165,5408,739,1639.0,2378,7786.0,0.30541998458772157
2022-06-03,2954,4396,7351,1225,4035.0,5260,12611.0,0.41709618586947905
2022-06-02,3474,5538,9012,1683,1961.0,3643,12655.0,0.2878704069537732
2022-05-24,2276,3587,5864,799,1928.0,2728,8591.0,0.3175416133162612
2022-05-25,2321,3178,5499,824,1903.0,2727,8226.0,0.33150984682713347
2022-05-26,1944,3717,5115,976,2025.0,3001,8116.0,0.36976343026121244
