DATE,DAY,NIGHT,SATCH Z,LSE D,LSE N,LSE TOT,TOTAL,,,,,,,,,,,,,,,,
12/27/2022,4521,4485,9006,2520,2968,5488,14494,RECORD,,,,,,,,,,,,,,,
12/28/2022,4236,4422,8658,2149,2895,5045,13703,I think these are all Records,,,,,,,,,,,,,,,
12/29/2022,3494,4296,7790,1814,3591,5406,13196,,,,,,,,,,,,,,,,
12/30/2022,3285,6048,9333,2585,3772,6356,15690,,,,,,,,,,,,,,,,
,CLOSED,,,CLOSED,,,,,,,,,,,,,,,,,,,
,,,,,,22295,57083,,,,,,,,,,,,,,,,
,,,,,,39%,,,,,,,,,,,,,,,,,
12/20/2022,2957,4306,7263,2110,3313,5423,12686,,,,,,,,,,,,,,,,
12/21/2022,2947,3421,6368,2293,3564,5857,12225,,,,,,,,,,,,,,,,
12/22/2022,3243,4390,7633,2394,3129,5523,13156,,,,,,,,,,,,,,,,
12/23/2022,3528,3766,7294,3548,3068,6617,13911,,,,,,,,,,,,,,,,
,CLOSED,,XMAS,EVE,,23420,51978,,,,,,,,,,,,,,,,
,,,,,,45%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
12/13/2022,2625,3886,6512,1179,2990,4169,10681,,,,,,,,,,,,,,,,
12/14/2022,3285,3504,6789,1478,2446,3924,10713,,,,,,,,,,,,,,,,
12/15/2022,1578,3679,5257,2712,2721,5433,10690,,,,,,,,,,,,,,,,
12/16/2022,3328,6205,9534,2502,4190,6692,16226,,,,,,,,,,,,,,,,
12/17/2022,4685,5785,10469,2552,3283,5835,16304,,,,,,,,,,,,,,,,
,,,,,,26053,64614,,,,,,,,,,,,,,,,
,,,,,,40%,,,,,,,,,,,,,,,,,
12/6/2022,1915,2559,4474,1156,1384,2540,7015,,,,,,,,,,,,,,,,
12/7/2022,2240,3775,6015,1299,2010,3309,9324,,,,,,,,,,,,,,,,
12/8/2022,3503,4089,7592,1386,2044,3430,11022,,,,,,,,,,,,,,,,
12/9/2022,3653,5955,9608,2227,3192,5419,15027,,,,,,,,,,,,,,,,
12/10/2022,4246,5578,9824,2171,2900,5071,14895,,,,,,,,,,,,,,,,
,,,,,,19769,57283,,,,,,,,,,,,,,,,
,,,,,,35%,,,,,,,,,,,,,,,,,
11/29/2022,1714,2504,4218,376,1584,1960,6179,,,,,,,,,,,,,,,,
11/30/2022,2024,2910,4934,836,858,1694,6628,,,,,,,,,,,,,,,,
