DATE,DAY,NIGHT,SATCH Z,LSE D,LSE N,LSE TOT,TOTAL
12/26/2023,4148,4488,8637,2629,3966,6595,15233
12/27/2023,4363,5071,9434,2039,4194,6233,15667
12/28/2023,4531,5146,9677,1638,4139,5778,15456
12/29/2023,4753,5434,10187,3306,4919,8225,18412
12/30/2023,5361,5939,11300,3529,3293,6822,18123
,,,,,,33653,82891
,,,,,,,
12/19/2023,4022,3270,7292,1970,2825,4795,12087
12/20/2023,3537,4049,7586,2096,2794,4891,12477
12/21/2023,2841,3953,6795,2559,4303,6863,13658
12/22/2023,4697,5476,10173,3946,4156,8103,18276
12/23/2023,5162,5694,10857,4311,3370,7681,18537
,,,,,,32333,75035
,,,,,,,
12/12/2023,3590,3325,6916,1397,1752,3149,10065
12/13/2023,3340,3532,6872,1658,2085,3743,10616
12/14/2023,3396,4240,7636,2136,2654,4826,12426
12/15/2023,5203,7415,12618,2355,4740,7095,19714
12/16/2023,5032,5886,10918,3761,3088,6849,17768
,,,,,,25662,70589
,,,,,,,
12/5/2023,2539,3231,5770,1480,2131,3619,9390
12/6/2023,2809,3265,6074,997,2286,3283,9357
12/7/2023,2954,3576,6530,1567,1899,3467,9998
12/8/2023,3769,5590,9359,2344,3599,5943,15302
12/9/2023,4186,6285,10471,2132,3332,5464,15935
,,,,,,21776,59982
,,,,,,36%,
11/28/2023,2537,2919,5456,1251,1149,2400,7857
11/29/2023,2340,2739,5079,1091,1599,2690,7769
11/30/2023,2156,3485,5642,729,2511,3240,8883
12/1/2023,3600,4993,8593,2128,3927,6055,14648
12/2/2023,4319,5575,9844,2486,3215,5701,15596
,,,,,,20086,54753
,,,,,,37%,
11/21/2023,3711,5611,9322,1749,3256,5005,14326
11/22/2023,3236,6134,9369,2117,3699,5817,15186
11/23/2023,,,,,,,THANKS
11/24/2023,5088,7339,12428,3331,4873,8204,20633
11/25/2023,6546,4109,10655,5122,2601,7724,18379
,,,,,,26750,68524
,,,,,,39%,
11/14/2023,2366,3703,6069,1132,1559,2691,8760
11/15/2023,2650,2623,5273,1096,1221,2317,7590
11/16/2023,2054,3140,5194,1075,1768,2843,8038
11/17/2023,2871,5299,8170,2368,3106,5174,13645
11/18/2023,5262,6380,11643,2907,3428,6335,17987
,,,,,,19360,56020
,,,,,,35%,
11/7/2023,2266,3377,5643,862,1917,2780,8423
11/8/2023,2503,3364,5868,1046,1676,2723,8590
11/9/2023,3136,3724,6857,1180,2613,3793,10651
11/10/2023,4194,6362,10556,2358,4487,6846,17402
11/11/2023,3643,4950,8594,2267,2220,4487,13081
,,,,,,20629,58150
,,,,,,,
10/31/2023,1915,2716,4630,1055,1068,2124,6754
11/1/2023,2489,3484,6073,1115,1479,2593,8667
11/2/2023,3405,5146,8551,1098,1738,2836,11388
11/3/2023,5234,7661,12895,2423,6417,8840,21736
11/4/2023,4031,7594,11625,3254,6195,9449,21074
,,,,,,25842,69619
,,,,,,37%,
10/24/2023,2155,3128,5283,1025,1875,2900,8183
10/25/2023,1977,3411,5389,877,2081,2958,8348
10/26/2023,2636,4372,7008,1558,2930,4485,11493
10/27/2023,3616,7179,10796,1582,3114,4697,15492
10/28/2023,5633,5174,10808,2875,2849,5724,16532
,,,,,,20764,60048
,,,,,,,
10/17/2023,3422,2878,6300,1292,1498,2790,9090
10/18/2023,2718,2248,5566,1169,1175,2345,7910
10/19/2023,3024,3461,6486,1929,2243,4173,10657
10/20/2023,3271,6784,10056,1581,4246,5827,15884
10/21/2023,4444,6227,10671,3245,3574,6819,17491
,,,,,,21954,61032
,,,,,,36%,
10/10/2023,2404,3209,5613,1110,1030,2141,7754
10/11/2023,1904,2617,4291,913,2148,3061,7582
10/12/2023,1457,3235,4693,735,2008,2743,7436
10/13/2023,2751,6991,9742,1382,3535,4917,14659
10/14/2023,5853,6287,12140,2502,3514,6016,18157
,,,,,,18878,55588
,,,,,,34%,
10/3/2023,2136,3264,5401,826,1156,1982,7383
10/4/2023,2223,2699,4922,1242,1263,2506,7228
10/5/2023,2757,4983,7740,1073,2627,3700,11440
10/6/2023,4245,7457,11702,2305,6792,9177,20880
10/7/2023,5728,6726,12454,2801,5385,8186,20641
,,,,,,25551,67572
,,,,,,38%,
9/26/2023,2503,2467,4971,822,1047,1869,6840
9/27/2023,2321,2648,4969,910,1790,2700,7670
9/28/2023,2253,3716,5969,1024,1510,2534,8503
9/29/2023,4641,6231,1087,1649,4298,5947,16819
9/30/2023,4507,6320,10826,2523,3820,6297,17124
,,,,,,19347,56956
,,,,,,,
9/19/2023,2493,3872,6365,931,1742,2673,9038
9/20/2023,2484,2258,4742,1043,1456,2500,7241
9/21/2023,2813,4250,7072,793,2610,3403,10476
9/22/2023,4939,6882,11821,2225,6639,8864,20685
9/23/2023,6787,5118,11906,3969,2331,6300,18206
,,,,,,23740,65646
,,,,,,,
9/12/2023,2129,2820,4949,1068,1525,2593,7542
9/13/2023,2842,3046,5888,1149,2121,3271,9159
9/14/2023,3169,4302,7472,898,2404,3302,10775
9/15/2023,3944,7118,11062,1528,5605,7133,18195
9/16/2023,7200,4405,11605,3109,2119,5229,16834
,,,,,,21528,62505
,,,,,,34%,
9/5/2023,1647,2630,4277,788,1105,1893,6171
9/6/2023,2197,2867,5064,971,1475,2445,7510
9/7/2023,1552,2716,4268,1090,1197,2287,6555
9/8/2023,3098,6463,9561,1543,5045,6597,16158
9/9/2023,5807,5322,11129,3615,2184,5799,16928
,,,,,,19021,53322
,,,,,,36%,
8/29/2023,2791,1681,4472,942,1349,2291,6763
8/30/2023,889,1700,2589,380,1295,1675,4264
8/31/2023,1364,3180,4544,682,1382,2064,6609
9/1/2023,2689,5229,7918,1540,3386,4927,12845
9/2/2023,4754,6956,11711,1931,3886,5817,17528
,,,,,,16774,48009
,,,,,,,
8/22/2023,2506,3145,5651,787,2086,2874,8525
8/23/2023,2859,3093,5952,966,1584,2550,8502
8/24/2023,2278,3767,6046,1295,2759,4054,10101
8/25/2023,3861,5955,9816,1639,3683,5323,15139
8/26/2023,4546,6085,10631,2102,3113,5215,15847
,,,,,,20016,58114
,,,,,,,
8/15/2023,2672,3369,6041,1475,1728,3203,9244
8/16/2023,3138,4668,7806,1553,2547,4100,11907
8/17/2023,3928,5467,9395,1551,2253,3804,13199
8/18/2023,4845,7661,12506,1729,5046,6775,19282
8/19/2023,6594,7598,14192,3825,5663,9488,23680
,,,BUSIEST LSE EVER,,,27370,77312
,,,,,,,
8/8/2023,3239,4762,8001,1698,1803,3502,11503
8/9/2023,3021,3646,6668,872,1590,2462,9130
8/10/2023,2078,5139,7217,1381,3260,4641,11858
8/11/2023,3674,7145,10820,1411,4352,5763,16583
8/12/2023,5388,7115,12503,2836,3888,6724,19927
,,,,,,23092,69001
,,,,,,33%,
8/1/2023,3164,3980,7144,1724,2407,4131,11276
8/2/2023,3163,4258,7422,1514,2291,3805,11227
8/3/2023,2673,3976,6670,1102,1539,2641,9311
8/4/2023,2947,6129,9077,1591,3539,5131,14208
8/5/2023,3998,6718,10716,2743,3381,6124,16840
,,,,,,21832,62862
,,,,,,,
7/25/2023,3062,3609,6671,1726,1705,3431,10103
7/26/2023,3546,4095,7641,1571,1571,3142,10783
7/27/2023,2195,4905,7099,1277,2564,3841,10940
7/28/2023,3235,5884,9119,1386,4608,5995,15115
7/29/2023,5087,6626,11714,2592,3608,6201,17915
,,,,,,22610,64856
,,,,,,,
7/18/2023,2335,4409,6744,1236,2341,3576,10321
7/19/2023,3169,4410,7580,1283,1985,3268,10848
7/20/2023,3079,4592,7672,1123,2244,3366,11038
7/21/2023,3973,6940,10913,1888,4026,5914,16827
7/22/2023,4571,6495,11066,1629,4783,6412,17479
,,,,,,22536,66513
,,,,,,34%,
7/11/2023,3739,4320,8060,1353,2512,3865,11925
7/12/2023,2683,4384,7067,1118,3365,4483,11551
7/13/2023,2651,4863,7514,1564,3060,4624,12139
7/14/2023,3035,6855,9890,1951,5044,6995,16885
7/15/2023,4478,6964,11443,2587,4556,7143,18586
,LSE,busiest,week,ever,,27110,71086
,2nd,busiest ,week,overall,,38%,
7/4/2023,2460,2790,5250,1582,1099,2681,7931
7/5/2023,3175,4510,7685,881,2299,3180,10866
7/6/2023,2685,4368,7053,1453,2224,3678,10731
7/7/2023,3741,5530,9271,1591,3841,5433,14704
7/8/2023,3781,6206,9987,2295,3951,6246,16234
,,,,,,21218,60466
,,,,,,35%,
6/27/2023,2809,4012,6821,1075,1970,3046,9867
6/28/2023,2820,4363,7184,1446,2404,3850,11034
6/29/2023,3241,4883,8124,1427,1620,3048,11171
6/30/2023,4107,6125,10292,2044,4366,6410,16702
7/1/2023,4973,6440,11413,2535,3664,6199,17642
,,,,,,22553,66386
,,,,,,34%,
6/20/2023,2207,4189,6396,1169,1788,2957,9354
6/21/2023,2642,3142,5784,1260,1630,2890,8674
6/22/2023,2867,3997,6864,1139,2750,3890,10753
6/23/2023,3525,5733,9258,1895,4666,6561,15819
6/24/2023,4756,5412,10198,1566,4230,5796,15994
,,,,,,22094,60594
,,,,,,36%,
6/13/2023,2748,3867,6615,814,1670,2484,9099
6/14/2023,2845,3682,6527,1171,2673,3845,10372
6/15/2023,3847,4170,8017,1279,2040,3319,11336
6/16/2023,3058,6201,9259,1897,4200,6097,15356
6/17/2023,4140,5887,10027,2393,4393,6786,16813
,,,,,,22531,62976
,,,,,,35%,
6/6/2023,3136,3626,6763,1032,1992,3024,9787
6/7/2023,2864,4167,7031,1144,1378,2522,9553
6/8/2023,3160,3980,7141,1060,2630,3690,10831
6/9/2023,3654,6203,9857,1870,5144,7014,16871
6/10/2023,5061,7006,12067,2470,3301,5771,17838
,,,,,,22021,64880
,,,,,,34%,
5/30/2023,2794,3477,6270,1169,1307,2476,8747
5/31/2023,2383,5000,6483,1773,2452,4225,10708
6/1/2023,2981,4885,7866,864,4227,5091,12958
6/2/2023,4893,6789,11682,1559,3928,5487,17170
6/3/2023,4623,6388,11011,2799,2985,5785,16796
,,,,,,23064,66379
,,,,,,,
5/23/2023,2542,3363,5905,762,1683,2446,8351
5/24/2023,2334,3826,6160,1214,3812,4925,11086
5/25/2023,2370,4647,7017,1246,2375,3622,10638
5/26/2023,3548,6428,9977,1642,5084,6726,16703
5/27/2023,4212,6806,11018,2218,4170,6388,17407
,,,,,,24107,64185
,,,,,,38%,
5/16/2023,2035,3225,5260,1035,1885,2920,8181
5/17/2023,3219,4250,7469,1417,2092,3509,10978
5/18/2023,1985,4747,6732,1474,2488,3962,10694
5/19/2023,3957,5765,9723,2240,5026,7266,16989
5/20/2023,4347,6133,10481,1915,2518,4434,14915
,,,,,,22091,61757
,,,,,,,
5/9/2023,2354,4496,6850,1266,1831,3097,9947
5/10/2023,2431,3722,6154,1414,2551,3964,10118
5/11/2023,2565,4009,6574,866,3255,4121,10696
5/12/2023,3812,6494,10306,1231,4758,5989,16295
5/13/2023,4904,6023,10927,1911,2935,4846,15773
,,,,,,22017,62829
,,,,,,,
5/2/2023,2794,5042,7836,1045,2289,3333,11169
5/3/2023,3591,4479,8070,1308,2673,3981,12051
5/4/2023,4351,7386,11737,1674,3772,5446,17182
5/5/2023,5586,9045,14630,2473,4159,6632,21263
5/6/2023,7483,8144,15627,3320,2946,6266,21894
,RECORDS,,BUSIEST WEEK EVER,,,25658,83559
,,$72357 March 2023,,,,31%,
4/25/2023,1979,4132,6111,1132,1716,2848,8959
4/26/2023,3658,3708,7365,1009,2731,3740,11106
4/27/2023,2359,4382,6740,1005,2659,3665,10405
4/28/2023,3113,5350,8463,1270,3091,4361,12824
4/29/2023,4884,6102,10987,2950,3296,6246,17233
,,,,,,20860,60527
,,,,,,34%,
4/18/2023,2191,3420,5611,948,2572,3520,9131
4/19/2023,2435,2800,5235,1180,1670,2850,8085
4/20/2023,2639,4109,6748,1356,2017,3374,10121
4/21/2023,3640,6117,9757,1555,3749,5305,15063
4/22/2023,6059,5523,11581,2960,3812,6772,18354
,,,,,,21821,60754
,,,,,,36%,
4/11/2023,2339,2972,5312,1193,2052,3245,8557
4/12/2023,2181,3660,5841,1243,2585,3828,9669
4/13/2023,2436,4194,6627,1698,2602,4297,10924
4/14/2023,3307,6372,9678,2387,4861,7248,16927
4/15/2023,5027,6747,11774,1729,4463,6192,17966
,,,,,,24810,64043
,,,,,,,
4/4/2023,1869,3852,5721,923,2025,2948,8668
4/5/2023,2987,3486,6472,1344,2608,3952,10424
4/6/2023,2481,4404,6885,1421,1281,2702,9587
4/7/2023,4000,5869,9869,1761,5600,7361,17230
4/8/2023,5157,6602,11758,2273,3591,5864,17623
,,,,,,22827,63532
,,,,,,,
3/28/2023,2067,3211,5278,827,1740,2566,7844
3/29/2023,2704,3954,6658,1553,3192,4745,11403
3/30/2023,2534,4029,6563,946,2666,3612,10175
3/31/2023,4158,5952,10111,1723,4923,6645,16756
