DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-TOT,TOTAL,LSE-PERCENT,LSE-DAY,LSE-NIGHT
2024-06-11,2882.0,2921.0,5803.0,3212.0,9016.0,0.3562555456965395,,
2024-06-12,2320.0,3854.0,6174.0,2925.0,9099.0,0.32146389713155293,,
2024-06-13,2654.0,4564.0,7218.0,3657.0,10876.0,0.3362449429937477,,
2024-06-04,2548.0,4293.0,6841.0,2855.0,9697.0,0.2944209549345158,,
2024-06-05,2485.0,4259.0,6745.0,3912.0,10657.0,0.3670826686684808,,
2024-06-06,2124.0,5112.0,7236.0,3737.0,10973.0,0.3405632005832498,,
2024-06-07,2718.0,6202.0,8921.0,6555.0,15476.0,0.4235590591884208,,
2024-06-08,4884.0,5777.0,10661.0,5036.0,15698.0,0.3208051981144095,,
2024-05-28,2413.0,4951.0,7364.0,3203.0,10568.0,0.30308478425435276,,
2024-05-29,2509.0,4475.0,6985.0,2317.0,9302.0,0.24908621801763062,,
2024-05-30,2509.0,4433.0,6942.0,4385.0,11328.0,0.3870939265536723,,
2024-05-31,2845.0,6274.0,9120.0,6125.0,15245.0,0.40177107248278127,,
2024-06-01,4590.0,6503.0,11093.0,6651.0,17745.0,0.37480980557903637,,
2024-05-21,2018.0,5057.0,7175.0,3057.0,10133.0,0.30168755551169446,,
2024-05-22,4327.0,3528.0,7855.0,3675.0,11531.0,0.31870609660914057,,
2024-05-23,2558.0,5174.0,7733.0,5072.0,12805.0,0.3960952752830925,,
2024-05-24,5000.0,5794.0,9994.0,7447.0,17441.0,0.4269823977982914,,
2024-05-25,4902.0,6637.0,11539.0,7422.0,18962.0,0.3914144077628942,,
2024-05-14,2517.0,3954.0,6472.0,2562.0,9034.0,0.28359530661943766,,
2024-05-15,1613.0,3967.0,5580.0,3189.0,8769.0,0.3636674649332877,,
2024-05-16,2675.0,4698.0,7374.0,3932.0,11307.0,0.34774918192270277,,
2024-05-17,4127.0,7223.0,11351.0,5177.0,16528.0,0.31322604065827686,,
2024-05-18,4644.0,6811.0,11465.0,5653.0,17118.0,0.3302371772403318,,
2024-05-07,3329.0,3691.0,7020.0,3899.0,10920.0,0.35705128205128206,,
2024-05-08,2495.0,3793.0,6289.0,3829.0,10118.0,0.3784344732160506,,
2024-05-09,2801.0,4574.0,7375.0,3059.0,10434.0,0.2931761548782825,,
2024-05-10,3188.0,7229.0,10417.0,6714.0,17132.0,0.3918982021947233,,
2024-05-11,5973.0,6478.0,12451.0,5955.0,18406.0,0.32353580354232314,,
2024-04-30,3383.0,5012.0,8395.0,3367.0,11762.0,0.28626083999319846,,
2024-05-01,3177.0,5130.0,8308.0,3786.0,12094.0,0.31304779229369933,,
2024-05-02,5545.0,8181.0,13726.0,6494.0,20220.0,0.3211671612265084,,
2024-05-03,6022.0,8819.0,14841.0,8396.0,23238.0,0.3613047594457354,,
2024-05-04,6623.0,7556.0,14179.0,8521.0,22701.0,0.375357913748293,,
2024-04-23,2448.0,4309.0,6758.0,3596.0,10354.0,0.3473053892215569,,
2024-04-24,2799.0,5960.0,8760.0,4167.0,12927.0,0.32234857275469947,,
2024-04-25,2796.0,5018.0,7814.0,4168.0,11982.0,0.34785511600734437,,
2024-04-26,4323.0,7369.0,11692.0,5958.0,17651.0,0.3375446150359753,,
2024-04-27,5181.0,7386.0,12567.0,8035.0,20603.0,0.3899917487744503,,
2024-04-16,2293.0,4904.0,7197.0,3697.0,10895.0,0.3393299678751721,,
2024-04-17,3180.0,3375.0,6555.0,4868.0,11424.0,0.4261204481792717,,
2024-04-18,2248.0,3845.0,6094.0,4159.0,10254.0,0.40559781548663937,,
2024-04-19,3434.0,6486.0,9920.0,5771.0,15692.0,0.3677670150395106,,
2024-04-20,6279.0,7574.0,13853.0,8736.0,22590.0,0.38671978751660024,,
2024-04-09,2367.0,4167.0,6534.0,3021.0,9556.0,0.3161364587693596,,
2024-04-10,2755.0,3498.0,6253.0,3637.0,9890.0,0.36774519716885745,,
2024-04-11,2383.0,4019.0,6402.0,2769.0,9172.0,0.30189707806367205,,
2024-04-12,3622.0,7456.0,11078.0,8551.0,19629.0,0.43563095420041775,,
2024-04-13,6048.0,8043.0,14091.0,10435.0,24526.0,0.4254668515045258,,
2024-04-02,2221.0,4335.0,6557.0,3883.0,10440.0,0.37193486590038316,,
2024-04-03,2261.0,4860.0,7121.0,4226.0,11348.0,0.37240042298202325,,
2024-04-04,3158.0,5326.0,8484.0,4291.0,12775.0,0.3358904109589041,,
2024-04-05,4333.0,7241.0,11574.0,6848.0,18422.0,0.37172945391379875,,
2024-04-06,5895.0,8112.0,14007.0,8216.0,22223.0,0.36970706025289113,,
2024-03-26,2930.0,4404.0,7334.0,4007.0,11341.0,0.3533198130676307,,
2024-03-27,2648.0,5239.0,7887.0,4551.0,12438.0,0.3658948383984563,,
2024-03-28,2807.0,6062.0,8870.0,5708.0,14578.0,0.39154890931540676,,
2024-03-29,6162.0,6641.0,12804.0,4787.0,20290.0,0.23592902907836372,,
2024-03-30,5162.0,9409.0,14571.0,6676.0,21247.0,0.3142090648091495,,
2024-03-19,2960.0,4280.0,7241.0,3486.0,10727.0,0.3249743637550107,,
2024-03-20,3836.0,4824.0,8660.0,3433.0,12093.0,0.2838832382369966,,
2024-03-21,3418.0,4938.0,8356.0,4059.0,12416.0,0.32691688144329895,,
2024-03-22,3588.0,6572.0,10160.0,7851.0,18011.0,0.43590028316029095,,
2024-03-23,7005.0,8121.0,15126.0,9914.0,25040.0,0.39592651757188496,,
2024-03-12,3511.0,3689.0,7201.0,4756.0,11957.0,0.3977586351091411,,
2024-03-13,3525.0,3913.0,7438.0,5020.0,12459.0,0.4029215827915563,,
2024-03-14,2637.0,6163.0,8800.0,5062.0,13862.0,0.36517097099985574,,
2024-03-15,4125.0,7404.0,11529.0,6059.0,17363.0,0.3489604331048782,,
2024-03-16,4452.0,7124.0,11577.0,6056.0,17636.0,0.3433885234747108,,
2024-03-05,3798.0,4062.0,7860.0,3724.0,11584.0,0.3214779005524862,,
2024-03-06,2709.0,4750.0,7459.0,4793.0,12252.0,0.39120143650016326,,
2024-03-07,3601.0,5748.0,9350.0,4433.0,13783.0,0.3216280925778133,,
2024-03-08,3096.0,6926.0,10023.0,7138.0,17161.0,0.41594312685740925,,
2024-03-09,6146.0,7252.0,13398.0,7840.0,21238.0,0.3691496374423204,,
2024-02-27,2482.0,3769.0,6251.0,3105.0,9357.0,0.331837127284386,,
2024-02-28,2828.0,4676.0,7505.0,4695.0,12201.0,0.38480452421932626,,
2024-02-29,3372.0,5401.0,8774.0,2966.0,11740.0,0.2526405451448041,,
2024-03-01,3064.0,5945.0,9009.0,8133.0,17142.0,0.4744487224361218,,
2024-03-02,6171.0,6931.0,13101.0,8592.0,21694.0,0.39605420853692264,,
2024-02-20,2313.0,3866.0,6179.0,3401.0,9580.0,0.35501043841336116,,
2024-02-21,3600.0,3762.0,7362.0,3058.0,10420.0,0.29347408829174665,,
2024-02-22,3343.0,4441.0,7784.0,4869.0,12654.0,0.38477951635846375,,
2024-02-23,4095.0,7815.0,11910.0,6095.0,18006.0,0.3384982783516606,,
2024-02-24,6954.0,7401.0,14355.0,10502.0,24857.0,0.42249668101540816,,
2024-02-13,3007.0,3367.0,6374.0,2315.0,8689.0,0.26642881804580504,,
2024-02-14,4252.0,4939.0,9191.0,4952.0,14144.0,0.3501131221719457,,
2024-02-15,2415.0,3969.0,6385.0,3438.0,9828.0,0.3498168498168498,,
2024-02-16,3545.0,7129.0,10674.0,7331.0,18006.0,0.4071420637565256,,
2024-02-17,5647.0,6315.0,11961.0,8734.0,20696.0,0.4220139157325087,,
2024-02-06,1616.0,2895.0,4511.0,2793.0,7305.0,0.382340862422998,,
2024-02-07,2573.0,3667.0,6239.0,3142.0,9381.0,0.33493230998827417,,
2024-02-08,3035.0,3286.0,6321.0,2565.0,8889.0,0.2885588930138373,,
2024-02-09,5143.0,7668.0,12811.0,8422.0,21234.0,0.39662804935480833,,
2024-02-10,6279.0,7416.0,13695.0,7182.0,20877.0,0.34401494467595917,,
2024-01-30,2345.0,3981.0,6326.0,3061.0,9387.0,0.32608927239799723,,
2024-01-31,2998.0,3826.0,6824.0,3412.0,10236.0,0.3333333333333333,,
2024-02-01,2577.0,3545.0,6122.0,2235.0,8398.0,0.2661347939985711,,
