DATE,TOTAL,DAY,NIGHT,SATCH Z,LSE TOT
6/11/2024,9016,2882,2921,5803,3212
6/12/2024,9099,2320,3854,6174,2925
6/13/2024,10876,2654,4564,7218,3657
6/14/2024,,,,,
6/15/2024,,,,,
,,,,,
,,,,,
6/4/2024,9697,2548,4293,6841,2855
6/5/2024,10657,2485,4259,6745,3912
6/6/2024,10973,2124,5112,7236,3737
6/7/2024,15476,2718,6202,8921,6555
6/8/2024,15698,4884,5777,10661,5036
,62501,,,,22095
,,,,,
5/28/2024,10568,2413,4951,7364,3203
5/29/2024,9302,2509,4475,6985,2317
5/30/2024,11328,2509,4433,6942,4385
5/31/2024,15245,2845,6274,9120,6125
6/1/2024,17745,4590,6503,11093,6651
,64188,,,,22681
,,,,,
5/21/2024,10133,2018,5057,7175,3057
5/22/2024,11531,4327,3528,7855,3675
5/23/2024,12805,2558,5174,7733,5072
5/24/2024,17441,5000,5794,9994,7447
5/25/2024,18962,4902,6637,11539,7422
,70872,,,,26673
,,,,,
5/14/2024,9034,2517,3954,6472,2562
5/15/2024,8769,1613,3967,5580,3189
5/16/2024,11307,2675,4698,7374,3932
5/17/2024,16528,4127,7223,11351,5177
5/18/2024,17118,4644,6811,11465,5653
,62756,,,,20513
,,,,,
5/7/2024,10920,3329,3691,7020,3899
5/8/2024,10118,2495,3793,6289,3829
5/9/2024,10434,2801,4574,7375,3059
5/10/2024,17132,3188,7229,10417,6714
5/11/2024,18406,5973,6478,12451,5955
,84142,,,,23456
,,,,,
4/30/2024,11762,3383,5012,8395,3367
5/1/2024,12094,3177,5130,8308,3786
5/2/2024,20220,5545,8181,13726,6494
5/3/2024,23238,6022,8819,14841,8396
5/4/2024,22701,6623,7556,14179,8521
,90015,,,,30564
,,,,,
4/23/2024,10354,2448,4309,6758,3596
4/24/2024,12927,2799,5960,8760,4167
4/25/2024,11982,2796,5018,7814,4168
4/26/2024,17651,4323,7369,11692,5958
4/27/2024,20603,5181,7386,12567,8035
,73517,,,,25924
,,,,,
4/16/2024,10895,2293,4904,7197,3697
4/17/2024,11424,3180,3375,6555,4868
4/18/2024,10254,2248,3845,6094,4159
4/19/2024,15692,3434,6486,9920,5771
4/20/2024,22590,6279,7574,13853,8736
,70855,,,,27231
,,,,,
4/9/2024,9556,2367,4167,6534,3021
4/10/2024,9890,2755,3498,6253,3637
4/11/2024,9172,2383,4019,6402,2769
4/12/2024,19629,3622,7456,11078,8551
4/13/2024,24526,6048,8043,14091,10435
,72773,,,,28413
,,,,,
4/2/2024,10440,2221,4335,6557,3883
4/3/2024,11348,2261,4860,7121,4226
4/4/2024,12775,3158,5326,8484,4291
4/5/2024,18422,4333,7241,11574,6848
4/6/2024,22223,5895,8112,14007,8216
,75208,,,,27464
,,,,,
3/26/2024,11341,2930,4404,7334,4007
3/27/2024,12438,2648,5239,7887,4551
3/28/2024,14578,2807,6062,8870,5708
3/29/2024,20290,6162,6641,12804,4787
3/30/2024,21247,5162,9409,14571,6676
,79894,,,,25729
,,,,,
3/19/2024,10727,2960,4280,7241,3486
3/20/2024,12093,3836,4824,8660,3433
3/21/2024,12416,3418,4938,8356,4059
3/22/2024,18011,3588,6572,10160,7851
3/23/2024,25040,7005,8121,15126,9914
,78287,,,,28743
,,,,,
3/12/2024,11957,3511,3689,7201,4756
3/13/2024,12459,3525,3913,7438,5020
3/14/2024,13862,2637,6163,8800,5062
3/15/2024,17363,4125,7404,11529,6059
